having_ip_address,url_length,having_at_symbol,prefix_suffix_dash,multi_subdomains,https_token,has_https,shortining_service,count_dots,count_digits,count_special_chars,has_suspicious_words,domain_age,favicon_mismatch,redirects,has_hidden_iframes,has_password_fields,Label
1,1,0,0,1,0,1,0,1,4,3,1,1,0,0,1,1,1
0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,2,10,9,0,1,0,0,0,1,1
0,1,0,0,0,0,1,0,2,6,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,1,2,28,4,1,1,0,1,1,1,1
0,0,0,0,0,0,1,0,1,7,1,0,0,0,0,0,0,0
1,1,0,1,1,0,0,0,9,35,5,1,1,1,0,1,1,1
0,1,1,1,1,0,0,0,8,34,9,0,1,1,0,0,1,1
0,0,0,0,0,0,1,0,2,7,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,1,1,0
0,0,0,0,0,0,1,0,1,9,4,0,0,0,0,0,1,0
0,0,0,1,0,0,1,0,1,3,0,0,1,0,0,0,1,0
0,0,0,0,0,0,1,1,1,3,4,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,2,9,2,0,0,0,0,0,0,0
0,1,0,1,0,0,1,0,2,4,1,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,6,11,7,1,1,0,1,1,1,1
0,1,0,1,1,0,0,0,4,27,13,0,1,1,1,0,0,1
0,1,0,0,0,0,1,0,3,4,2,0,0,0,0,0,0,0
0,1,0,1,1,0,0,0,3,44,2,1,1,0,1,0,1,1
1,1,0,1,1,1,0,1,7,15,0,1,1,1,1,0,1,1
0,0,0,1,1,0,1,0,5,34,12,0,1,1,0,1,1,1
1,1,0,1,1,1,0,0,8,25,13,1,1,1,1,0,1,1
0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,1,0
0,1,0,1,1,0,0,0,4,13,3,1,1,1,1,0,1,1
0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,1,3,46,3,0,1,0,0,0,0,1
0,0,0,1,0,0,0,1,8,1,8,0,1,1,1,0,1,1
0,1,0,1,1,0,0,0,1,8,12,0,1,0,1,0,1,1
0,1,0,0,0,0,1,1,2,3,0,0,0,0,0,0,0,0
0,1,0,1,1,0,0,0,1,11,5,0,1,0,1,0,1,1
0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0
0,1,0,1,1,1,0,0,3,10,12,1,1,0,1,1,1,1
0,0,0,0,1,0,1,0,2,6,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,9,9,1,1,1,0,0,0,0,1
0,0,0,0,0,1,1,0,3,0,4,0,1,0,0,0,1,0
0,0,0,0,0,0,1,0,2,2,2,0,1,0,0,0,0,0
0,1,0,1,0,0,0,1,1,46,3,0,1,0,0,0,1,1
0,0,0,0,0,0,1,0,1,1,4,0,1,0,0,0,0,0
1,1,0,1,0,0,0,1,5,41,11,0,1,1,1,1,1,1
1,0,0,1,1,0,0,0,6,22,2,0,1,1,0,0,1,1
0,1,0,0,1,1,0,1,4,16,2,1,1,0,1,0,1,1
0,1,0,1,1,1,0,0,6,20,5,1,1,1,0,1,1,1
0,1,1,1,1,0,0,0,1,23,6,0,1,0,1,1,1,1
0,1,0,1,1,0,0,1,1,16,0,0,1,0,0,0,1,1
0,1,0,1,0,1,0,0,5,15,11,1,1,0,1,0,1,1
0,1,0,0,1,1,0,0,8,7,4,1,1,1,1,0,1,1
1,0,0,0,1,0,0,0,2,44,12,0,1,1,0,1,1,1
0,0,0,1,0,1,0,0,8,26,5,0,1,0,1,1,1,1
0,1,0,1,1,0,0,0,4,19,1,0,1,1,1,0,1,1
0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,2,2,4,0,0,0,0,0,0,0
0,1,1,1,0,0,1,0,8,43,10,1,1,0,0,1,1,1
0,0,1,1,1,0,0,0,9,6,8,0,1,0,1,0,1,1
1,1,0,1,0,0,1,0,3,27,5,1,1,1,0,1,1,1
0,0,0,1,0,1,0,0,8,1,5,1,1,0,1,0,1,1
0,1,1,0,1,0,0,0,1,39,11,1,1,0,1,1,0,1
0,0,0,1,1,0,0,0,5,35,12,1,1,0,1,1,1,1
0,0,0,0,0,0,0,1,7,43,9,1,1,0,1,0,1,1
0,1,0,1,1,1,1,0,3,10,12,1,1,0,1,0,1,1
0,0,0,0,0,0,1,0,1,7,0,1,0,0,0,0,0,0
0,1,0,1,1,0,0,0,1,16,10,1,1,0,1,0,1,1
1,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0
1,1,0,1,1,0,0,0,1,19,7,1,1,1,1,1,1,1
0,1,0,1,0,0,1,0,9,28,2,1,0,1,0,1,1,1
0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0
1,1,0,1,1,0,1,0,8,44,8,1,1,0,1,0,1,1
0,0,0,1,0,0,1,0,3,1,3,0,0,0,0,0,0,0
0,0,1,1,0,1,0,1,8,23,9,1,1,0,0,0,1,1
0,1,0,1,0,0,0,0,7,37,4,0,1,0,1,1,1,1
0,0,0,0,0,0,1,0,2,8,2,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,6,16,3,1,1,0,1,1,1,1
0,1,0,0,0,0,1,0,2,6,4,0,0,0,0,0,0,0
1,1,0,1,1,1,0,0,4,31,3,0,0,1,0,1,1,1
0,0,0,0,0,0,0,0,3,5,4,1,0,1,0,0,1,0
0,0,0,0,0,0,1,1,2,6,2,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,2,47,8,1,1,0,0,1,1,1
0,1,0,1,1,0,0,0,9,7,9,1,1,0,1,1,1,1
0,0,0,0,0,0,1,0,2,7,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,9,32,5,0,1,0,1,1,0,1
0,1,0,1,0,0,0,0,1,48,12,1,1,0,1,0,1,1
0,1,1,0,0,0,0,1,9,27,14,0,1,1,0,0,1,1
0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,2,2,1,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,2,9,2,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,3,7,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1,5,2,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,3,0,4,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,2,6,2,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,5,42,9,0,0,1,1,1,1,1
0,0,0,0,0,0,1,0,3,4,0,0,1,0,0,0,0,0
0,1,0,1,0,0,1,0,3,18,2,0,1,0,0,0,1,1
0,1,0,1,1,0,0,1,8,14,8,1,1,0,1,0,1,1
1,0,0,1,1,0,0,0,1,15,6,1,1,1,1,0,1,1
0,0,0,0,0,0,1,0,2,9,3,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,9,4,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,4,2,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,2,3,3,0,0,0,0,1,0,0
0,1,0,0,1,0,0,0,5,34,5,0,1,1,1,0,1,1
0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,2,1,2,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,2,1,3,0,0,0,0,0,0,0
0,1,0,0,0,0,1,1,3,4,0,1,0,0,0,0,0,0
1,0,0,0,1,1,1,1,3,45,10,1,1,0,0,0,1,1
0,0,0,1,0,0,0,0,3,7,4,0,0,0,0,0,0,0
0,1,0,1,1,0,0,0,7,10,11,1,1,0,1,0,1,1
0,0,0,0,1,0,1,0,2,8,4,0,0,1,0,0,0,0
0,1,0,1,0,0,0,0,6,18,11,0,1,0,0,0,1,1
0,0,0,0,0,0,1,0,3,7,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,3,9,2,0,0,0,0,0,1,0
0,0,0,1,1,0,0,0,1,19,3,1,1,0,0,0,1,1
1,0,0,1,0,1,0,0,9,15,6,1,1,0,1,1,1,1
1,0,0,1,1,0,0,1,5,22,3,0,1,1,1,1,1,1
0,0,0,0,1,0,1,0,3,7,1,0,0,0,0,0,0,0
0,1,0,0,0,1,0,1,3,10,7,0,1,1,1,0,1,1
0,0,0,1,0,0,1,0,2,3,1,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,2,8,3,0,0,0,1,0,0,0
0,1,0,1,0,0,0,1,1,14,2,0,1,0,0,1,1,1
1,0,0,1,0,0,0,0,1,21,4,1,1,0,0,0,1,1
0,0,0,0,1,0,1,0,2,4,3,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,8,2,0,0,0,0,0,0,0
0,1,0,1,1,1,0,1,5,46,1,0,0,1,0,0,1,1
0,1,0,1,1,0,0,0,1,16,5,0,0,0,0,1,1,1
0,1,1,1,1,0,1,0,6,48,6,1,0,0,0,0,1,1
0,0,0,0,0,0,1,1,3,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,3,3,2,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,3,9,4,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,3,5,1,0,0,0,0,0,0,0
0,0,0,1,1,0,1,0,2,7,2,0,0,0,0,1,0,0
0,0,0,0,1,0,1,0,3,3,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,5,21,12,0,1,0,0,0,1,1
0,0,0,0,0,0,1,0,3,9,3,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,7,3,0,1,0,0,0,1,0
0,0,0,0,0,0,1,0,2,3,2,0,0,0,1,0,0,0
0,1,0,0,1,0,0,1,6,28,3,1,1,0,0,0,1,1
0,0,0,0,0,0,1,0,2,3,4,1,0,0,0,0,0,0
0,0,0,0,1,0,1,0,2,7,0,0,0,0,0,0,0,0
0,1,0,1,1,0,0,0,5,41,6,0,1,0,0,1,1,1
0,0,0,0,0,0,1,0,2,8,4,0,1,0,0,0,0,0
0,0,0,0,0,1,1,0,1,9,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,3,7,4,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,2,5,2,0,0,0,1,0,0,0
0,0,0,1,0,0,1,0,1,8,3,0,0,0,0,0,0,0
0,1,0,1,0,0,1,1,3,4,8,1,1,0,1,1,1,1
0,1,0,0,1,1,0,0,3,19,13,1,1,0,0,0,1,1
0,1,0,1,1,0,0,0,7,3,2,1,1,1,0,0,1,1
0,0,0,0,0,0,1,0,3,8,3,0,0,1,0,0,0,0
0,1,0,0,0,0,1,0,3,7,2,0,0,0,1,1,0,0
0,0,0,0,0,0,1,0,2,8,3,0,0,0,0,0,1,0
0,0,0,1,1,0,0,0,3,29,11,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,2,8,4,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,7,40,3,0,1,1,1,0,1,1
0,0,0,1,0,0,1,0,3,4,1,0,1,0,0,0,1,0
0,1,0,1,0,0,0,0,5,43,5,0,1,0,1,1,1,1
0,1,0,1,1,0,0,1,9,20,6,0,1,0,0,0,1,1
0,1,1,1,0,1,0,0,7,28,10,0,1,0,0,0,1,1
0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,1,9,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,1,3,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,3,0,2,0,0,0,1,0,0,0
0,0,0,0,0,0,1,1,3,6,4,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,2,7,2,0,0,0,0,0,0,0
1,1,0,1,0,0,0,1,1,27,8,0,1,0,1,0,0,1
0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0
1,1,0,1,1,0,0,0,7,17,1,1,1,0,0,1,0,1
0,0,0,0,0,0,1,0,1,8,1,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,2,8,4,0,1,0,0,0,0,0
0,0,0,0,1,0,1,0,1,9,2,0,0,0,0,0,0,0
1,1,0,1,1,0,0,0,5,18,5,1,1,0,1,1,1,1
1,1,1,0,1,0,0,0,6,39,2,0,1,1,1,0,1,1
1,1,0,1,1,0,0,0,8,10,9,0,1,0,0,0,1,1
0,1,0,1,1,0,0,1,1,28,14,0,1,1,1,0,1,1
0,0,0,0,0,0,1,0,1,8,2,0,0,0,0,0,0,0
1,1,0,1,1,0,0,0,2,14,14,1,1,1,0,0,1,1
0,0,0,0,0,0,1,0,2,8,4,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,3,4,1,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,5,41,8,0,1,0,0,1,1,1
1,1,0,1,1,0,0,0,1,27,9,0,0,1,0,0,0,1
0,0,1,1,1,0,0,1,7,29,9,1,0,1,0,0,1,1
1,1,0,1,0,0,1,0,3,5,3,1,0,0,0,0,0,1
0,1,0,1,1,1,1,0,9,41,1,1,1,1,1,0,1,1
1,1,0,1,1,0,0,0,5,28,5,0,1,0,1,0,1,1
0,1,0,1,1,1,1,0,7,43,14,1,1,1,0,0,1,1
0,1,1,1,1,0,0,0,3,17,5,1,0,0,1,1,1,1
0,0,0,1,0,0,1,1,3,9,2,0,0,0,1,0,1,0
0,1,0,1,1,0,0,0,2,29,3,1,1,0,1,0,1,1
1,1,0,1,1,0,0,0,4,49,6,1,1,0,0,0,1,1
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,2,16,8,1,1,0,1,0,1,1
0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0,1,5,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,3,3,12,0,1,1,0,1,1,1
0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,3,5,4,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,1,0
1,1,0,1,0,0,0,0,9,1,7,0,1,1,1,0,1,1
0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,1,0
0,1,0,1,0,1,0,0,7,23,0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,2,9,3,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,2,5,4,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,3,7,3,0,0,0,0,0,0,0
0,1,0,1,1,0,0,0,6,0,3,0,1,0,0,0,0,1
1,0,0,1,1,0,0,0,9,43,11,0,1,0,1,0,1,1
0,0,0,0,0,0,1,0,2,3,4,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,1,6,3,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1,4,4,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0
0,1,0,0,0,0,1,1,1,6,4,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,3,6,0,0,0,0,0,0,0,0
0,1,0,1,1,0,0,1,7,13,4,1,0,0,0,0,1,1
1,1,0,1,0,0,0,1,4,43,9,1,1,1,0,1,0,1
1,0,0,1,0,0,0,1,3,32,0,1,1,0,0,1,1,1
0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,3,6,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,1,3,22,0,1,0,0,0,0,1,1
1,0,0,0,1,0,0,0,7,21,1,1,0,1,1,1,1,1
0,1,0,1,0,0,0,1,8,34,1,0,1,1,1,0,1,1
0,1,0,1,0,0,0,0,9,30,11,1,1,0,1,0,1,1
0,0,0,0,0,0,1,0,2,5,1,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,8,1,3,0,1,0,1,1,0,1
0,0,0,0,0,0,1,0,3,7,3,0,0,0,0,0,0,0
0,1,1,1,0,0,1,0,7,2,2,1,1,1,1,0,0,1
0,0,0,0,0,0,0,0,2,6,4,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1,6,22,10,1,1,1,1,0,0,1
0,1,0,1,0,1,0,1,3,30,9,0,1,1,0,0,1,1
0,1,0,1,1,0,0,1,7,41,14,0,1,1,1,1,1,1
0,1,0,1,1,1,0,0,4,10,0,1,0,0,0,0,0,1
0,0,0,0,0,0,1,0,3,2,1,0,0,0,0,0,0,0
1,1,0,1,0,1,0,0,5,44,9,1,1,0,0,0,0,1
0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,2,9,4,0,0,0,0,0,0,0
0,0,0,0,1,0,1,1,1,9,4,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,2,2,4,0,0,0,0,0,0,0
0,1,0,0,1,0,1,0,3,45,6,0,1,0,1,0,0,1
0,0,0,0,0,0,1,0,3,0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,1,0,1,6,3,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,3,4,0,0,0,0,0,0,0
0,1,0,1,0,0,0,1,3,8,14,1,1,1,1,1,1,1
0,0,0,0,1,1,0,0,7,13,6,0,1,0,0,1,1,1
0,1,0,1,0,0,0,0,6,41,12,1,1,0,0,1,1,1
1,1,0,0,1,1,0,0,9,37,12,0,1,1,1,0,1,1
0,1,0,0,0,0,1,0,1,8,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,9,1,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,1,35,1,0,1,0,1,0,1,1
0,0,0,0,0,0,1,0,1,2,4,0,0,0,1,0,0,0
0,0,0,0,0,0,1,1,3,9,3,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
0,1,0,1,1,1,0,0,6,22,6,0,1,0,0,0,0,1
0,1,1,1,0,0,0,1,7,47,0,1,1,0,1,1,1,1
0,1,0,0,0,0,0,0,3,5,3,1,0,0,0,0,0,0
1,0,0,1,0,0,1,1,8,25,12,0,1,1,0,0,1,1
0,1,1,1,1,0,0,0,1,39,9,1,1,1,0,1,1,1
0,1,0,0,1,0,0,0,7,1,7,1,1,1,1,0,1,1
0,1,0,1,1,0,0,0,1,0,2,1,1,1,0,0,1,1
0,0,0,0,1,1,0,1,1,7,7,1,1,0,0,1,1,1
0,0,0,0,0,0,1,0,3,1,3,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,1,24,4,1,1,1,1,0,1,1
0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,1,2,46,14,1,1,1,0,1,1,1
0,0,0,0,0,0,1,0,3,8,2,0,0,0,0,0,1,0
0,0,0,0,0,1,1,0,2,6,2,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,3,7,4,0,0,0,0,0,1,0
0,1,0,1,1,0,0,1,3,47,5,1,1,0,1,1,0,1
0,0,0,1,1,0,0,0,2,5,5,0,1,0,0,1,1,1
0,0,0,0,0,0,0,0,1,7,1,1,0,0,0,0,0,0
1,1,0,1,1,0,0,1,2,13,1,1,1,1,1,0,1,1
0,0,0,1,0,0,0,0,7,38,11,0,1,1,0,0,1,1
0,0,0,1,1,0,0,0,7,6,6,1,0,0,1,1,1,1
0,1,0,0,1,0,0,0,4,18,14,1,1,1,1,0,1,1
0,0,0,0,0,0,1,1,2,8,1,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,1,7,0,0,0,0,1,0,1,0
0,0,0,1,1,0,0,0,3,48,13,0,1,0,0,0,1,1
0,1,0,1,0,1,0,0,5,4,9,1,1,0,0,0,1,1
0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0,3,6,1,0,0,1,1,0,0,0
1,1,0,1,0,1,0,0,1,19,9,1,1,1,1,0,0,1
0,0,0,0,0,0,0,0,3,6,2,1,0,0,0,0,0,0
0,0,0,1,1,0,1,0,2,19,0,1,1,0,0,0,1,1
0,0,0,0,1,1,0,1,6,43,10,0,1,0,0,1,1,1
0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,0
0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0
1,1,0,1,1,0,1,1,6,5,10,1,1,1,1,0,1,1
1,1,0,1,1,0,0,0,7,48,0,1,1,0,0,1,0,1
0,0,0,0,0,0,1,0,3,3,3,0,0,0,1,0,1,0
0,0,1,1,1,0,0,1,4,10,12,1,1,0,1,0,1,1
0,0,0,1,1,0,0,0,2,6,1,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,4,2,1,0,1,0,0,0,1,1
0,0,0,0,0,0,1,0,3,8,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,1,0
1,1,0,0,1,0,0,0,9,23,8,0,1,1,0,0,1,1
0,1,0,1,1,0,0,0,4,30,0,1,1,0,0,0,1,1
0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,22,4,1,1,1,0,0,1,1
0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,0,9,21,1,1,1,0,0,0,1,1
0,1,0,1,1,0,0,0,1,1,13,1,0,0,0,0,1,1
0,0,0,0,0,0,1,0,3,9,0,0,0,0,1,0,0,0
0,1,0,1,0,0,1,0,1,32,2,1,0,1,1,0,1,1
0,0,0,1,1,0,0,1,6,41,4,1,1,0,0,0,1,1
0,0,0,1,0,0,1,0,2,3,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,1,9,4,0,0,0,0,0,1,0
0,0,0,1,1,1,1,1,6,5,1,1,1,0,1,0,1,1
0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,8,2,0,0,0,1,0,0,0
0,0,0,1,1,0,0,0,6,33,7,0,1,0,0,1,0,1
0,0,0,0,0,0,1,0,3,1,2,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,3,5,0,0,0,0,1,0,0,0
1,1,0,1,1,0,0,1,5,19,11,1,0,0,1,0,1,1
0,0,0,0,1,0,0,1,6,12,9,1,1,0,0,0,1,1
0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,2,7,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,6,47,12,1,1,0,0,1,1,1
0,1,0,1,0,0,1,1,9,28,14,1,0,0,0,0,1,1
0,0,0,1,0,0,0,1,6,35,0,0,1,1,0,0,1,1
0,0,0,1,0,0,0,1,2,29,11,0,1,0,1,0,0,1
0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,1,0
1,1,0,1,1,0,0,0,2,1,10,1,1,0,0,1,1,1
1,0,1,1,1,0,0,0,2,18,7,1,1,0,0,1,1,1
0,0,0,0,0,0,1,0,2,7,3,0,1,0,0,0,0,0
0,1,0,1,1,0,0,0,8,11,3,0,0,1,0,1,1,1
0,0,0,0,0,0,1,0,2,9,1,0,0,1,0,0,0,0
0,1,0,1,1,1,0,0,4,18,0,0,1,1,1,0,1,1
1,0,0,0,1,0,0,0,5,5,13,0,1,0,1,0,1,1
